Sn,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Continent,Population
73,Bosnia and Herzegovina,"173,478","2,154","6,763",88,"131,726",560,"34,989",,"53,125","2,071","802,118","245,638","3,265,450",Europe,194834
,,,,,,,,,,,,,,,,
74,Nigeria,"162,997",,"2,058",,"151,708",,"9,231",11,776,10,"1,767,694","8,420","209,938,714",Africa,"1,288,102,011,119"
,,,,,,,,,,,,,,,,
75,Venezuela,"161,751",,"1,615",,"148,656",,"11,480",198,"5,700",57,"3,359,014","118,378","28,375,334",South America,"175,175,708"
,,,,,,,,,,,,,,,,
76,Libya,"161,088","1,108","2,684",4,"148,288",424,"10,116",,"23,208",387,"871,524","125,560","6,941,123",Africa,"4,325,868"
,,,,,,,,,,,,,,,,
77,Oman,"160,018",,"1,681",,"144,639",,"13,698",160,"30,754",323,"1,550,000","297,895","5,203,170",Asia,"3,330,953"
,,,,,,,,,,,,,,,,
78,Bahrain,"145,380",,523,,"136,064",,"8,793",61,"83,296",300,"3,598,553","2,061,796","1,745,349",Asia,"1,233,370"
,,,,,,,,,,,,,,,,
79,Myanmar,"142,466",,"3,206",,"131,802",,"7,458",,"2,605",59,"2,539,586","46,442","54,683,190",Asia,"3,841,705,722"
,,,,,,,,,,,,,,,,
80,Kenya,"135,042",,"2,167",,"93,067",,"39,808",153,"2,471",40,"1,494,777","27,350","54,653,147",Africa,"4,052,522,137"
,,,,,,,,,,,,,,,,
81,North Macedonia,"131,424",,"3,810",,"107,740",,"19,874",124,"63,084","1,829","629,233","302,035","2,083,310",Europe,165473
,,,,,,,,,,,,,,,,
82,Albania,"125,506",,"2,241",,"91,875",,"31,390",18,"43,648",779,"557,421","193,856","2,875,435",Europe,"2,312,835"
,,,,,,,,,,,,,,,,
83,Algeria,"117,304",,"3,096",,"81,632",,"32,576",14,"2,640",70,"230,861","5,195","44,441,661",Africa,"37,914,355,193"
,,,,,,,,,,,,,,,,
84,Estonia,"108,418",901,922,14,"85,053","1,636","22,443",72,"81,689",695,"1,155,647","870,737","1,327,205",Europe,"1,214,391"
,,,,,,,,,,,,,,,,
85,Uruguay,"108,188",,"1,009",,"85,200",,"21,979",360,"31,064",290,"1,387,452","398,377","3,482,765",South America,"3,234,523"
,,,,,,,,,,,,,,,,
86,S. Korea,"104,194",555,"1,737",2,"95,861",422,"6,596",101,"2,031",34,"7,788,295","151,812","51,302,330",Asia,"492,295,357"
,,,,,,,,,,,,,,,,
87,Latvia,"103,588",587,"1,922",9,"94,101",,"7,565",77,"55,381","1,028","1,921,360","1,027,209","1,870,467",Europe,189731
,,,,,,,,,,,,,,,,
88,Norway,"97,152",691,673,,"80,023",,"16,456",63,"17,816",123,"4,701,414","862,170","5,452,999",Europe,"5,681,031"
,,,,,,,,,,,,,,,,
89,Sri Lanka,"92,917",,571,,"89,701",294,"2,645",,"4,326",27,"2,374,627","110,547","21,480,610",Asia,"231,376,199"
,,,,,,,,,,,,,,,,
90,Montenegro,"91,906",333,"1,296",10,"84,587",552,"6,023",69,"146,318","2,063","339,955","541,221","628,126",Europe,74852
,,,,,,,,,,,,,,,,
91,Ghana,"90,649",66,744,1,"88,159",94,"1,746",39,"2,873",24,"1,001,526","31,738","31,556,111",Africa,"3,484,241,432"
,,,,,,,,,,,,,,,,
92,Zambia,"88,730",181,"1,215",3,"84,825",127,"2,690",80,"4,728",65,"1,262,291","67,264","18,766,221",Africa,"2,111,544,515"
,,,,,,,,,,,,,,,,
93,Kyrgyzstan,"88,700",162,"1,500",,"84,979",82,"2,221",24,"13,430",227,"862,010","130,518","6,604,537",Asia,"7,444,038"
,,,,,,,,,,,,,,,,
94,Uzbekistan,"83,239",189,630,,"81,303",168,"1,306",23,"2,460",19,"1,377,915","40,729","33,831,575",Asia,"4,065,370,125"
,,,,,,,,,,,,,,,,
95,Finland,"78,672",566,846,,"46,000",,"31,826",52,"14,182",153,"4,011,652","723,187","5,547,184",Europe,"7,165,571"
,,,,,,,,,,,,,,,,
96,Cuba,"77,353","1,077",429,4,"72,351",858,"4,573",83,"6,832",38,"3,025,927","267,275","11,321,420",North America,"146,263,904"
,,,,,,,,,,,,,,,,
97,Mozambique,"67,729",,775,,"56,835",,"10,119",,"2,123",24,"482,221","15,114","31,905,591",Africa,"4,714,116,966"
,,,,,,,,,,,,,,,,
98,El Salvador,"64,431",,"2,017",,"61,640",,774,30,"9,896",310,"839,408","128,926","6,510,751",North America,"10,132,288"
,,,,,,,,,,,,,,,,
99,Luxembourg,"61,881",,749,,"57,366",,"3,766",30,"97,669","1,182","2,411,839","3,806,684","633,580",Europe,108460
,,,,,,,,,,,,,,,,
100,Singapore,"60,450",43,30,,"60,176",15,244,1,"10,272",5,"8,546,349","1,452,272","5,884,812",Asia,"971,961,601"
,,,,,,,,,,,,,,,,
101,Cameroon,"57,337",,851,,"51,769",,"4,717",53,"2,121",31,"1,187,367","43,916","27,037,191",Africa,"4,723,177,123"
,,,,,,,,,,,,,,,,
102,Afghanistan,"56,595",23,"2,496",1,"51,798",10,"2,301","1,120","1,430",63,"351,598","8,883","39,580,937",Asia,"69,915,858,113"
,,,,,,,,,,,,,,,,
103,Cyprus,"46,173",,260,,"2,057",,"43,856",46,"38,035",214,"3,349,002","2,758,776","1,213,945",Asia,"2,646,690"
,,,,,,,,,,,,,,,,
104,Namibia,"44,374",,528,,"41,910",,"1,936",33,"17,231",205,"349,054","135,543","2,575,226",Africa,"5,848,777"
,,,,,,,,,,,,,,,,
105,Ivory Coast,"44,326",,247,,"40,739",,"3,340",,"1,650",9,"524,257","19,515","26,863,991",Africa,"60,610,876,151"
,,,,,,,,,,,,,,,,
106,Uganda,"40,924",35,335,,"40,452",,137,,874,7,"945,344","20,195","46,811,736",Africa,"114,413,973,750"
,,,,,,,,,,,,,,,,
107,Botswana,"40,878",,591,,"36,958",,"3,329",1,"17,125",248,"932,633","390,712","2,387,009",Africa,"5,840,393"
,,,,,,,,,,,,,,,,
108,Jamaica,"39,543",,599,,"17,725",,"21,219",52,"13,310",202,"283,592","95,458","2,970,863",North America,"75,496,010"
,,,,,,,,,,,,,,,,
109,Senegal,"38,889",107,"1,056",2,"37,532",98,301,34,"2,278",62,"441,464","25,859","17,071,787",Africa,"4,391,616,639"
,,,,,,,,,,,,,,,,
110,Zimbabwe,"36,896",,"1,523",,"34,698",,675,13,"2,456",101,"382,999","25,492","15,024,557",Africa,"407,986,539"
,,,,,,,,,,,,,,,,
111,Malawi,"33,584",,"1,118",,"30,379",,"2,087",28,"1,722",57,"219,103","11,238","19,497,344",Africa,"5,811,743,989"
,,,,,,,,,,,,,,,,
112,Sudan,"30,111",,"2,063",,"24,214",,"3,834",,675,46,"232,965","5,222","44,611,057",Africa,"148,221,624,191"
,,,,,,,,,,,,,,,,
113,Australia,"29,333",14,909,,"26,290",2,"2,134",,"1,140",35,"15,773,762","613,259","25,721,193",Australia/Oceania,"877,282,962"
,,,,,,,,,,,,,,,,
114,Malta,"29,127",42,395,1,"28,045",94,687,,"65,835",893,"813,463","1,838,642","442,426",Europe,"1,511,201"
,,,,,,,,,,,,,,,,
115,Thailand,"28,947",58,94,,"27,606",58,"1,247",1,414,1,"8,124,896","116,184","69,931,468",Asia,"24,167,439,529"
,,,,,,,,,,,,,,,,
116,DRC,"28,199",,745,,"25,508",,"1,946",,308,8,,,"91,580,756",Africa,"3,248,122,927"
,,,,,,,,,,,,,,,,
117,Madagascar,"24,968",272,444,11,"22,300",168,"2,224",246,885,16,"144,795","5,131","28,220,133",Africa,"113,063,559,195"
,,,,,,,,,,,,,,,,
118,Maldives,"24,379",,67,,"21,282",,"3,030",99,"44,516",122,"653,492","1,193,274","547,646",Asia,"2,281,741"
,,,,,,,,,,,,,,,,
119,Angola,"22,399",,538,,"20,508",,"1,353",12,666,16,"420,085","12,494","33,624,239",Africa,"15,016,249,980"
,,,,,,,,,,,,,,,,
120,Rwanda,"21,918",,308,,"20,308",,"1,302",5,"1,662",23,"1,156,698","87,689","13,190,960",Africa,"6,024,282,811"
,,,,,,,,,,,,,,,,
121,Guinea,"20,228",145,128,1,"16,832",78,"3,268",24,"1,510",10,"408,613","30,499","13,397,388",Africa,"66,210,466,733"
,,,,,,,,,,,,,,,,
122,Gabon,"19,550",,118,,"16,609",,"2,823",24,"8,632",52,"637,354","281,416","2,264,807",Africa,"116,191,934"
,,,,,,,,,,,,,,,,
123,Mayotte,"19,408",,161,,"2,964",,"16,283",17,"69,886",580,"151,773","546,514","277,711",Africa,"1,417,252"
,,,,,,,,,,,,,,,,
124,Syria,"19,039",,"1,274",,"12,855",,"4,910",,"1,069",72,,,"17,816,853",Asia,"93,613,985"
,,,,,,,,,,,,,,,,
125,French Polynesia,"18,633",,141,,"4,842",,"13,650",2,"66,045",500,"26,355","93,416","282,126",Australia/Oceania,"15,200,111"
,,,,,,,,,,,,,,,,
126,Mauritania,"17,878",,449,,"17,125",,304,14,"3,771",95,"206,372","43,534","4,740,474",Africa,"2,651,055,823"
,,,,,,,,,,,,,,,,
127,Cabo Verde,"17,587",,169,,"16,340",,"1,078",23,"31,377",302,"127,554","227,570","560,505",Africa,"3,233,174"
,,,,,,,,,,,,,,,,
128,Eswatini,"17,344",,668,,"16,544",,132,6,"14,835",571,"172,043","147,152","1,169,154",Africa,"6,717,507"
,,,,,,,,,,,,,,,,
129,French Guiana,"17,132",,93,,"9,995",,"7,044",5,"56,275",305,"162,697","534,421","304,436",South America,"1,832,742"
,,,,,,,,,,,,,,,,
130,Réunion,"16,586",,115,,"14,828",,"1,643",54,"18,427",128,"98,785","109,749","900,100",Africa,"5,478,279"
,,,,,,,,,,,,,,,,
131,Tajikistan,"13,308",,90,,"13,218",,0,,"1,372",9,,,"9,697,109",Asia,"729,107,746"
,,,,,,,,,,,,,,,,
132,Haiti,"12,788",,251,,"11,126",,"1,411",,"1,111",22,"54,379","4,726","11,506,476",North America,"90,045,843,212"
,,,,,,,,,,,,,,,,
133,Burkina Faso,"12,774",,149,,"12,420",,205,,599,7,,,"21,328,963",Africa,"1,670,143,147"
,,,,,,,,,,,,,,,,
134,Belize,"12,456",,317,,"12,090",,49,1,"30,907",787,"100,149","248,501","403,012",North America,"3,212,714"
,,,,,,,,,,,,,,,,
135,Andorra,"12,053",,115,,"11,365",,573,12,"155,808","1,487","193,595","2,502,585","77,358",Europe,66730
,,,,,,,,,,,,,,,,
136,Guadeloupe,"11,681",,170,,"2,242",,"9,269",8,"29,190",425,"154,363","385,739","400,175",North America,"3,423,543"
,,,,,,,,,,,,,,,,
137,Hong Kong,"11,500",19,205,,"11,121",13,174,9,"1,525",27,"11,193,673","1,484,071","7,542,543",Asia,"656,367,931"
,,,,,,,,,,,,,,,,
138,Somalia,"11,499",,537,,"4,861",,"6,101",,709,33,,,"16,222,455",Africa,"141,130,209"
,,,,,,,,,,,,,,,,
139,Lesotho,"10,706",,315,,"4,471",,"5,920",,"4,968",146,"67,404","31,278","2,154,971",Africa,"201,684,132"
,,,,,,,,,,,,,,,,
140,Togo,"10,654",,110,,"7,996",,"2,548",,"1,265",13,"276,636","32,843","8,423,092",Africa,"7,917,657,430"
,,,,,,,,,,,,,,,,
141,Guyana,"10,375",,233,,"9,159",,983,12,"13,143",295,"91,231","115,570","789,399",South America,"7,633,889"
,,,,,,,,,,,,,,,,
142,South Sudan,"10,219",22,112,,"9,749",39,358,,905,10,"133,254","11,801","11,291,885",Africa,"110,510,082,085"
,,,,,,,,,,,,,,,,
143,Mali,"10,199",,386,,"6,863",,"2,950",,493,19,"163,104","7,886","20,683,742",Africa,"202,853,585,127"
,,,,,,,,,,,,,,,,
144,Congo,"9,681",,135,,"8,208",,"1,338",,"1,723",24,"92,500","16,462","5,619,090",Africa,"5,804,162,361"
,,,,,,,,,,,,,,,,
145,Aruba,"9,503",,86,,"8,713",,704,8,"88,725",803,"126,431","1,180,429","107,106",North America,"1,112,451"
,,,,,,,,,,,,,,,,
146,Mongolia,"9,327",486,10,2,"5,216",146,"4,101",46,"2,811",3,"2,275,242","685,789","3,317,702",Asia,"3,563,317,701"
,,,,,,,,,,,,,,,,
147,Bahamas,"9,171",,188,,"8,676",,307,3,"23,156",475,"76,691","193,636","396,057",North America,"4,321,075"
,,,,,,,,,,,,,,,,
148,Suriname,"9,122",,177,,"8,598",,347,3,"15,446",300,"44,700","75,690","590,568",South America,"65,333,713"
,,,,,,,,,,,,,,,,
149,Curaçao,"8,834",,38,,"5,330",,"3,466",22,"53,671",231,"73,224","444,871","164,596",North America,"1,943,312"
,,,,,,,,,,,,,,,,
150,Djibouti,"8,431",251,72,1,"6,630",92,"1,729",,"8,442",72,"131,523","131,690","998,733",Africa,"118,138,718"
,,,,,,,,,,,,,,,,
151,Martinique,"8,304",,51,,98,,"8,155",5,"22,141",136,"126,108","336,247","375,046",North America,"4,573,543"
,,,,,,,,,,,,,,,,
152,Trinidad and Tobago,"8,072",,145,,"7,618",,309,14,"5,754",103,"110,530","78,787","1,402,889",North America,"174,967,513"
,,,,,,,,,,,,,,,,
153,Benin,"7,313",,93,,"6,452",,768,35,592,8,"548,484","44,379","12,359,163",Africa,"169,013,289,423"
,,,,,,,,,,,,,,,,
154,Equatorial Guinea,"7,008",,103,,"6,635",,270,14,"4,876",72,"110,205","76,684","1,437,130",Africa,"2,051,395,313"
,,,,,,,,,,,,,,,,
155,Nicaragua,"6,677",,178,,"4,225",,"2,274",,999,27,,,"6,683,501",North America,"100,137,548"
,,,,,,,,,,,,,,,,
156,Papua New Guinea,"6,475",363,60,,846,,"5,569",,714,7,"63,700","7,021","9,073,386",Australia/Oceania,"1,401,151,223,142"
,,,,,,,,,,,,,,,,
157,Iceland,"6,205",,29,,"6,058",,118,1,"18,095",85,"544,007","1,586,475","342,903",Europe,"55,118,241"
,,,,,,,,,,,,,,,,
158,Gambia,"5,459",,165,,"5,070",,224,3,"2,213",67,"55,196","22,373","2,467,075",Africa,"4,521,495,245"
,,,,,,,,,,,,,,,,
159,CAR,"5,222",,72,,"4,957",,193,2,"1,067",15,"38,422","7,853","4,892,420",Africa,"93,767,950,127"
,,,,,,,,,,,,,,,,
160,Niger,"5,021",,187,,"4,641",,193,1,202,8,"889,613","35,793","24,854,710",Africa,"495,013,291,328"
,,,,,,,,,,,,,,,,
161,San Marino,"4,775",1,84,,"4,170",,521,10,"140,503","2,472","53,294","1,568,162","33,985",Europe,74051
,,,,,,,,,,,,,,,,
162,Chad,"4,552",,164,,"4,149",,239,,271,10,"109,238","6,512","16,775,706",Africa,"3,685,102,291,154"
,,,,,,,,,,,,,,,,
